Id,Label,POS_Category,Total_Frequency,partie
pouvoir,pouvoir,VERB,929,Partie_2
pouvoir,pouvoir,VERB,787,Partie_1
savoir,savoir,VERB,683,Partie_2
main,main,NOUN,654,Partie_2
Killian,Killian,PROPN,634,Partie_2
savoir,savoir,VERB,592,Partie_1
cœur,cœur,NOUN,554,Partie_2
vouloir,vouloir,VERB,537,Partie_2
fois,fois,NOUN,523,Partie_2
vouloir,vouloir,VERB,505,Partie_1
main,main,NOUN,494,Partie_1
aller,aller,VERB,461,Partie_2
Killian,Killian,PROPN,456,Partie_1
prendre,prendre,VERB,451,Partie_2
oeil,oeil,NOUN,447,Partie_2
temps,temps,NOUN,430,Partie_2
Arya,Arya,PROPN,425,Partie_2
mot,mot,NOUN,418,Partie_2
tête,tête,NOUN,412,Partie_2
regard,regard,NOUN,407,Partie_2
devoir,devoir,VERB,395,Partie_2
seul,seul,ADJ,377,Partie_2
corps,corps,NOUN,372,Partie_2
Aïdan,Aïdan,PROPN,365,Partie_2
nouveau,nouveau,ADJ,365,Partie_2
Alric,Alric,PROPN,361,Partie_1
sang,sang,NOUN,361,Partie_2
temps,temps,NOUN,356,Partie_1
grand,grand,ADJ,348,Partie_2
petit,petit,ADJ,348,Partie_2
Arya,Arya,PROPN,340,Partie_1
prendre,prendre,VERB,330,Partie_1
cœur,cœur,NOUN,326,Partie_1
fois,fois,NOUN,326,Partie_1
mot,mot,NOUN,325,Partie_1
aller,aller,VERB,319,Partie_1
laisser,laisser,VERB,318,Partie_2
mettre,mettre,VERB,318,Partie_2
passer,passer,VERB,313,Partie_2
venir,venir,VERB,310,Partie_2
oeil,oeil,NOUN,305,Partie_1
devoir,devoir,VERB,300,Partie_1
vie,vie,NOUN,296,Partie_2
monde,monde,NOUN,295,Partie_2
voleur,voleur,NOUN,288,Partie_2
visage,visage,NOUN,287,Partie_2
magie,magie,NOUN,285,Partie_2
petit,petit,ADJ,282,Partie_1
voix,voix,NOUN,280,Partie_2
Alric,Alric,PROPN,279,Partie_2
laisser,laisser,VERB,274,Partie_1
mots,mots,PROPN,274,Partie_2
seul,seul,ADJ,274,Partie_1
tête,tête,NOUN,274,Partie_1
corps,corps,NOUN,268,Partie_1
Abel,Abel,PROPN,264,Partie_1
voir,voir,VERB,262,Partie_1
mots,mots,PROPN,261,Partie_1
regard,regard,NOUN,260,Partie_1
voir,voir,VERB,259,Partie_2
côté,côté,NOUN,257,Partie_2
âme,âme,NOUN,256,Partie_2
jour,jour,NOUN,255,Partie_2
venir,venir,VERB,255,Partie_1
passer,passer,VERB,252,Partie_1
fasciné,fasciné,PROPN,251,Partie_2
souvenir,souvenir,NOUN,248,Partie_1
croire,croire,VERB,247,Partie_2
Aïdan,Aïdan,PROPN,246,Partie_1
beau,beau,ADJ,243,Partie_2
doute,doute,NOUN,241,Partie_2
peau,peau,NOUN,241,Partie_2
comprendre,comprendre,VERB,240,Partie_2
rester,rester,VERB,240,Partie_2
bras,bras,NOUN,239,Partie_2
voix,voix,NOUN,239,Partie_1
coup,coup,NOUN,238,Partie_2
vie,vie,NOUN,235,Partie_1
Reina,Reina,PROPN,234,Partie_1
dernier,dernier,ADJ,234,Partie_2
donner,donner,VERB,233,Partie_2
sang,sang,NOUN,232,Partie_1
Reina,Reina,PROPN,224,Partie_2
besoin,besoin,NOUN,224,Partie_2
grand,grand,ADJ,223,Partie_1
moment,moment,NOUN,222,Partie_2
attendre,attendre,VERB,220,Partie_2
falloir,falloir,VERB,212,Partie_2
œil,œil,NOUN,212,Partie_2
comprendre,comprendre,VERB,207,Partie_1
doigt,doigt,NOUN,206,Partie_2
chose,chose,NOUN,205,Partie_1
nouveau,nouveau,ADJ,204,Partie_1
aimer,aimer,VERB,202,Partie_2
air,air,NOUN,202,Partie_2
mettre,mettre,VERB,200,Partie_1
perdre,perdre,VERB,200,Partie_2
sourire,sourire,NOUN,199,Partie_2
visage,visage,NOUN,196,Partie_1
rendre,rendre,VERB,194,Partie_2
rester,rester,VERB,194,Partie_1
tomber,tomber,VERB,194,Partie_2
Passeuse,Passeuse,PROPN,193,Partie_2
donner,donner,VERB,188,Partie_1
demander,demander,VERB,186,Partie_2
trouver,trouver,VERB,186,Partie_2
mort,mort,NOUN,185,Partie_2
nuit,nuit,NOUN,185,Partie_2
prince,prince,NOUN,185,Partie_2
propre,propre,ADJ,185,Partie_2
prince,prince,NOUN,184,Partie_1
connaître,connaître,VERB,183,Partie_1
connaître,connaître,VERB,182,Partie_2
magie,magie,NOUN,182,Partie_1
créature,créature,NOUN,181,Partie_2
côté,côté,NOUN,181,Partie_1
trouver,trouver,VERB,181,Partie_1
fin,fin,NOUN,180,Partie_2
bouche,bouche,NOUN,178,Partie_2
peau,peau,NOUN,178,Partie_1
pied,pied,NOUN,176,Partie_2
lumière,lumière,NOUN,174,Partie_2
monde,monde,NOUN,173,Partie_1
attendre,attendre,VERB,171,Partie_1
question,question,NOUN,171,Partie_2
émotion,émotion,NOUN,171,Partie_1
Abel,Abel,PROPN,170,Partie_2
force,force,NOUN,170,Partie_2
devenir,devenir,VERB,168,Partie_1
noir,noir,ADJ,168,Partie_2
doigt,doigt,NOUN,167,Partie_1
jour,jour,NOUN,167,Partie_1
homme,homme,NOUN,166,Partie_2
place,place,NOUN,166,Partie_2
sentir,sentir,VERB,166,Partie_2
peur,peur,NOUN,165,Partie_2
souvenir,souvenir,NOUN,165,Partie_2
étoile,étoile,NOUN,164,Partie_2
chose,chose,NOUN,163,Partie_2
ciel,ciel,NOUN,163,Partie_2
devenir,devenir,VERB,163,Partie_2
dernier,dernier,ADJ,162,Partie_1
esprit,esprit,NOUN,162,Partie_2
penser,penser,VERB,162,Partie_1
penser,penser,VERB,162,Partie_2
aimer,aimer,VERB,160,Partie_1
amour,amour,NOUN,160,Partie_1
moment,moment,NOUN,159,Partie_1
tenir,tenir,VERB,159,Partie_2
arriver,arriver,VERB,158,Partie_2
croire,croire,VERB,157,Partie_1
amour,amour,NOUN,154,Partie_2
bras,bras,NOUN,154,Partie_1
mort,mort,NOUN,154,Partie_1
long,long,ADJ,152,Partie_2
falloir,falloir,VERB,151,Partie_1
nom,nom,NOUN,150,Partie_2
beau,beau,ADJ,149,Partie_1
perdre,perdre,VERB,149,Partie_1
esprit,esprit,NOUN,147,Partie_1
feu,feu,NOUN,147,Partie_2
sentir,sentir,VERB,147,Partie_1
tour,tour,NOUN,147,Partie_2
âme,âme,NOUN,147,Partie_1
livre,livre,NOUN,146,Partie_1
dos,dos,NOUN,145,Partie_2
noir,noir,ADJ,145,Partie_1
lumière,lumière,NOUN,143,Partie_1
peur,peur,NOUN,142,Partie_1
Passeuse,Passeuse,PROPN,140,Partie_1
chercher,chercher,VERB,140,Partie_1
épaule,épaule,NOUN,140,Partie_2
entendre,entendre,VERB,139,Partie_2
porter,porter,VERB,139,Partie_2
propre,propre,ADJ,139,Partie_1
cheveu,cheveu,NOUN,138,Partie_2
doute,doute,NOUN,138,Partie_1
ouvrir,ouvrir,VERB,138,Partie_2
question,question,NOUN,138,Partie_1
terre,terre,NOUN,138,Partie_2
changer,changer,VERB,137,Partie_2
entendre,entendre,VERB,137,Partie_1
seconde,seconde,NOUN,136,Partie_2
sortir,sortir,VERB,136,Partie_1
bouche,bouche,NOUN,135,Partie_1
histoire,histoire,NOUN,135,Partie_2
lèvre,lèvre,NOUN,135,Partie_2
nuit,nuit,NOUN,135,Partie_1
combat,combat,NOUN,134,Partie_2
part,part,NOUN,134,Partie_2
bout,bout,NOUN,133,Partie_2
femme,femme,NOUN,133,Partie_2
émotion,émotion,NOUN,133,Partie_2
blanc,blanc,ADJ,132,Partie_1
chercher,chercher,VERB,132,Partie_2
demander,demander,VERB,132,Partie_1
voleur,voleur,NOUN,131,Partie_1
sourire,sourire,NOUN,130,Partie_1
arriver,arriver,VERB,129,Partie_1
place,place,NOUN,128,Partie_1
arbre,arbre,NOUN,127,Partie_2
compter,compter,VERB,127,Partie_2
eau,eau,NOUN,127,Partie_2
jouer,jouer,VERB,127,Partie_2
arrêter,arrêter,VERB,126,Partie_2
nom,nom,NOUN,126,Partie_1
vérité,vérité,NOUN,126,Partie_2
porte,porte,NOUN,125,Partie_2
rouge,rouge,ADJ,125,Partie_2
sembler,sembler,VERB,125,Partie_1
sembler,sembler,VERB,125,Partie_2
vrai,vrai,ADJ,125,Partie_1
arbre,arbre,NOUN,124,Partie_1
arène,arène,PROPN,124,Partie_2
envie,envie,NOUN,124,Partie_2
heure,heure,NOUN,124,Partie_2
vrai,vrai,ADJ,124,Partie_2
Thorval,Thorval,PROPN,123,Partie_2
continuer,continuer,VERB,123,Partie_2
partie,partie,NOUN,123,Partie_2
raison,raison,NOUN,123,Partie_2
suivre,suivre,VERB,123,Partie_2
confiance,confiance,NOUN,122,Partie_2
porter,porter,VERB,122,Partie_1
blanc,blanc,ADJ,121,Partie_2
choix,choix,NOUN,121,Partie_2
douleur,douleur,NOUN,121,Partie_2
parler,parler,VERB,121,Partie_1
rendre,rendre,VERB,121,Partie_1
éphémère,éphémère,PROPN,121,Partie_2
œil,œil,NOUN,121,Partie_1
famille,famille,NOUN,120,Partie_2
ombre,ombre,NOUN,120,Partie_2
épaule,épaule,NOUN,120,Partie_1
silence,silence,NOUN,119,Partie_2
