Source,Target,Weight,Partie
mots,Passeuse,190,Partie_2
Arya,Rosenwald,60,Partie_2
compte,rendre,57,Partie_2
Lyncée,œil,50,Partie_2
maître,Onome,40,Partie_2
ciel,étoile,39,Partie_2
pleureur,saule,36,Partie_2
savoir,vouloir,36,Partie_2
Alric,Killian,34,Partie_2
Killian,Nightbringer,34,Partie_2
Killian,regard,34,Partie_2
aller,savoir,34,Partie_2
pouvoir,vouloir,34,Partie_2
sang,sortilège,33,Partie_2
Een,Valaan,32,Partie_2
Killian,main,32,Partie_2
Alric,Reina,31,Partie_2
Abel,prince,30,Partie_2
pouvoir,savoir,30,Partie_2
pouvoir,seul,28,Partie_2
main,tendre,27,Partie_2
place,prendre,27,Partie_2
poser,question,26,Partie_2
côté,passer,25,Partie_2
devoir,savoir,25,Partie_2
fois,pouvoir,25,Partie_2
mot,pouvoir,25,Partie_2
passer,temps,25,Partie_2
tête,tourner,25,Partie_2
main,passer,24,Partie_2
main,visage,24,Partie_2
Killian,Reina,23,Partie_2
bras,Killian,23,Partie_2
général,Quartier,23,Partie_2
lèvre,sourire,23,Partie_2
ouvrir,porte,23,Partie_2
Héldon,roi,22,Partie_2
bleu,serpent,22,Partie_2
miracle,tour,22,Partie_2
pouvoir,voir,22,Partie_2
Arya,savoir,21,Partie_2
cœur,main,21,Partie_2
main,pouvoir,21,Partie_2
mort,vie,21,Partie_2
Aïdan,pouvoir,20,Partie_2
Killian,pouvoir,20,Partie_2
Killian,savoir,20,Partie_2
Maître,Onome,20,Partie_2
corps,esprit,20,Partie_2
cœur,poitrine,20,Partie_2
doigt,main,20,Partie_2
dos,tourner,20,Partie_2
femme,homme,20,Partie_2
grand,pouvoir,20,Partie_2
lever,main,20,Partie_2
magie,pouvoir,20,Partie_2
main,tenir,20,Partie_2
mettre,pied,20,Partie_2
noir,oeil,20,Partie_2
prendre,temps,20,Partie_2
secouer,tête,20,Partie_2
Arya,Killian,19,Partie_2
Désert,Reine,19,Partie_2
Kortan,Séïa,19,Partie_2
cœur,monde,19,Partie_2
cœur,pouvoir,19,Partie_2
empêcher,pouvoir,19,Partie_2
fois,seul,19,Partie_2
jour,nuit,19,Partie_2
main,voleur,19,Partie_2
épaule,main,19,Partie_2
Fer,Val,18,Partie_2
Killian,mot,18,Partie_2
Killian,voix,18,Partie_2
bras,croiser,18,Partie_2
compte,fin,18,Partie_2
coup,donner,18,Partie_2
main,tête,18,Partie_2
monde,pouvoir,18,Partie_2
Arya,pouvoir,17,Partie_2
Killian,prendre,17,Partie_2
Killian,tête,17,Partie_2
aile,papillon,17,Partie_2
baiser,déposer,17,Partie_2
battement,cœur,17,Partie_2
besoin,Sablier,17,Partie_2
corps,tête,17,Partie_2
côté,pouvoir,17,Partie_2
cœur,Killian,17,Partie_2
dernier,mot,17,Partie_2
fois,nouveau,17,Partie_2
hocher,tête,17,Partie_2
main,prendre,17,Partie_2
main,regard,17,Partie_2
moment,pouvoir,17,Partie_2
mot,seul,17,Partie_2
mots,pouvoir,17,Partie_2
passer,pouvoir,17,Partie_2
pouvoir,rester,17,Partie_2
pouvoir,utiliser,17,Partie_2
savoir,temps,17,Partie_2
âme,pouvoir,17,Partie_2
Alric,tête,16,Partie_2
Killian,oeil,16,Partie_2
bout,minute,16,Partie_2
bras,main,16,Partie_2
corps,main,16,Partie_2
coup,œil,16,Partie_2
croire,vouloir,16,Partie_2
cœur,laisser,16,Partie_2
cœur,temps,16,Partie_2
dernier,fois,16,Partie_2
devoir,prendre,16,Partie_2
doigt,pointer,16,Partie_2
donner,pouvoir,16,Partie_2
fois,main,16,Partie_2
grand,main,16,Partie_2
grand,ouvrir,16,Partie_2
laisser,temps,16,Partie_2
main,mettre,16,Partie_2
main,sang,16,Partie_2
Alric,pouvoir,15,Partie_2
Killian,vouloir,15,Partie_2
aller,pouvoir,15,Partie_2
aller,prendre,15,Partie_2
arracher,cœur,15,Partie_2
bouche,mot,15,Partie_2
corps,Killian,15,Partie_2
cœur,mot,15,Partie_2
fois,savoir,15,Partie_2
fois,temps,15,Partie_2
lancer,regard,15,Partie_2
main,petit,15,Partie_2
passer,tête,15,Partie_2
petit,pouvoir,15,Partie_2
pouvoir,prendre,15,Partie_2
savoir,trouver,15,Partie_2
œil,vérité,15,Partie_2
Alric,regard,14,Partie_2
Arya,croire,14,Partie_2
Arya,tête,14,Partie_2
Aïdan,doute,14,Partie_2
Aïdan,fasciné,14,Partie_2
aller,demander,14,Partie_2
aller,laisser,14,Partie_2
attendre,pouvoir,14,Partie_2
bout,doigt,14,Partie_2
bras,jambe,14,Partie_2
chose,savoir,14,Partie_2
comprendre,pouvoir,14,Partie_2
croire,pouvoir,14,Partie_2
croiser,regard,14,Partie_2
cœur,esprit,14,Partie_2
cœur,nouveau,14,Partie_2
demander,pouvoir,14,Partie_2
décision,prendre,14,Partie_2
fermer,oeil,14,Partie_2
feu,mettre,14,Partie_2
fois,Killian,14,Partie_2
jeter,œil,14,Partie_2
jour,savoir,14,Partie_2
larme,oeil,14,Partie_2
lever,oeil,14,Partie_2
lever,tête,14,Partie_2
main,oeil,14,Partie_2
main,plaquer,14,Partie_2
main,seul,14,Partie_2
mettre,savoir,14,Partie_2
mot,nouveau,14,Partie_2
oeil,ouvrir,14,Partie_2
oeil,voir,14,Partie_2
pied,tête,14,Partie_2
rester,savoir,14,Partie_2
étoile,oeil,14,Partie_2
Arya,cœur,13,Partie_2
Arya,main,13,Partie_2
Aïdan,magie,13,Partie_2
Aïdan,souvenir,13,Partie_2
Aïdan,vouloir,13,Partie_2
Halgerta,Seirova,13,Partie_2
Killian,laisser,13,Partie_2
Killian,passer,13,Partie_2
Loothar,Thiban,13,Partie_2
aller,Arya,13,Partie_2
aller,mettre,13,Partie_2
aller,petit,13,Partie_2
battre,cœur,13,Partie_2
blanc,cheveu,13,Partie_2
bouche,ouvrir,13,Partie_2
cheveu,long,13,Partie_2
cheveu,mèche,13,Partie_2
cheveu,oeil,13,Partie_2
cheveu,visage,13,Partie_2
coup,sec,13,Partie_2
cœur,regard,13,Partie_2
cœur,venir,13,Partie_2
donner,envie,13,Partie_2
détourner,regard,13,Partie_2
envie,prendre,13,Partie_2
fois,mettre,13,Partie_2
garde,prendre,13,Partie_2
grand,oeil,13,Partie_2
grand,partie,13,Partie_2
homme,jeune,13,Partie_2
laisser,place,13,Partie_2
main,propre,13,Partie_2
main,rejoindre,13,Partie_2
monde,vouloir,13,Partie_2
mot,temps,13,Partie_2
nouveau,temps,13,Partie_2
oeil,visage,13,Partie_2
perdre,temps,13,Partie_2
pouvoir,rendre,13,Partie_2
prendre,vie,13,Partie_2
prendre,voleur,13,Partie_2
savoir,vie,13,Partie_2
Alric,cœur,12,Partie_2
Arya,mot,12,Partie_2
Aïdan,Ravenwood,12,Partie_2
Aïdan,nouveau,12,Partie_2
Aïdan,oeil,12,Partie_2
Killian,nuit,12,Partie_2
Passeuse,pouvoir,12,Partie_2
aimer,pouvoir,12,Partie_2
aller,croire,12,Partie_2
amour,pouvoir,12,Partie_2
arriver,pouvoir,12,Partie_2
beau,visage,12,Partie_2
besoin,envie,12,Partie_2
boule,neige,12,Partie_2
bras,corps,12,Partie_2
contact,entrer,12,Partie_2
continuer,pouvoir,12,Partie_2
creux,main,12,Partie_2
côté,place,12,Partie_2
cœur,seul,12,Partie_2
dos,main,12,Partie_2
fasciné,prendre,12,Partie_2
fin,mettre,12,Partie_2
fin,savoir,12,Partie_2
grand,petit,12,Partie_2
gris,papillon,12,Partie_2
laisser,main,12,Partie_2
lumière,ombre,12,Partie_2
magie,puissant,12,Partie_2
main,nouveau,12,Partie_2
main,peau,12,Partie_2
main,poser,12,Partie_2
main,table,12,Partie_2
mettre,vouloir,12,Partie_2
mot,vouloir,12,Partie_2
nouveau,pouvoir,12,Partie_2
oeil,voleur,12,Partie_2
peau,visage,12,Partie_2
petit,savoir,12,Partie_2
peur,pouvoir,12,Partie_2
place,pouvoir,12,Partie_2
pouvoir,regard,12,Partie_2
pouvoir,sang,12,Partie_2
pouvoir,temps,12,Partie_2
pouvoir,trouver,12,Partie_2
pouvoir,vie,12,Partie_2
prendre,savoir,12,Partie_2
rayon,soleil,12,Partie_2
savoir,seul,12,Partie_2
temps,vie,12,Partie_2
tête,voleur,12,Partie_2
Alric,Arya,11,Partie_2
Alric,main,11,Partie_2
Alric,épaule,11,Partie_2
Arya,regard,11,Partie_2
Arya,vouloir,11,Partie_2
Aïdan,cœur,11,Partie_2
Aïdan,mot,11,Partie_2
