Id,Label,POS_Category,Total_Frequency,partie
pouvoir,pouvoir,VERB,787,Partie_1
savoir,savoir,VERB,592,Partie_1
vouloir,vouloir,VERB,505,Partie_1
main,main,NOUN,494,Partie_1
Killian,Killian,PROPN,456,Partie_1
Alric,Alric,PROPN,361,Partie_1
temps,temps,NOUN,356,Partie_1
Arya,Arya,PROPN,340,Partie_1
prendre,prendre,VERB,330,Partie_1
cœur,cœur,NOUN,326,Partie_1
fois,fois,NOUN,326,Partie_1
mot,mot,NOUN,325,Partie_1
aller,aller,VERB,319,Partie_1
oeil,oeil,NOUN,305,Partie_1
devoir,devoir,VERB,300,Partie_1
petit,petit,ADJ,282,Partie_1
laisser,laisser,VERB,274,Partie_1
seul,seul,ADJ,274,Partie_1
tête,tête,NOUN,274,Partie_1
corps,corps,NOUN,268,Partie_1
Abel,Abel,PROPN,264,Partie_1
voir,voir,VERB,262,Partie_1
mots,mots,PROPN,261,Partie_1
regard,regard,NOUN,260,Partie_1
venir,venir,VERB,255,Partie_1
passer,passer,VERB,252,Partie_1
souvenir,souvenir,NOUN,248,Partie_1
Aïdan,Aïdan,PROPN,246,Partie_1
voix,voix,NOUN,239,Partie_1
vie,vie,NOUN,235,Partie_1
Reina,Reina,PROPN,234,Partie_1
sang,sang,NOUN,232,Partie_1
grand,grand,ADJ,223,Partie_1
comprendre,comprendre,VERB,207,Partie_1
chose,chose,NOUN,205,Partie_1
nouveau,nouveau,ADJ,204,Partie_1
mettre,mettre,VERB,200,Partie_1
visage,visage,NOUN,196,Partie_1
rester,rester,VERB,194,Partie_1
donner,donner,VERB,188,Partie_1
prince,prince,NOUN,184,Partie_1
connaître,connaître,VERB,183,Partie_1
magie,magie,NOUN,182,Partie_1
côté,côté,NOUN,181,Partie_1
trouver,trouver,VERB,181,Partie_1
peau,peau,NOUN,178,Partie_1
monde,monde,NOUN,173,Partie_1
attendre,attendre,VERB,171,Partie_1
émotion,émotion,NOUN,171,Partie_1
devenir,devenir,VERB,168,Partie_1
doigt,doigt,NOUN,167,Partie_1
jour,jour,NOUN,167,Partie_1
dernier,dernier,ADJ,162,Partie_1
penser,penser,VERB,162,Partie_1
aimer,aimer,VERB,160,Partie_1
amour,amour,NOUN,160,Partie_1
moment,moment,NOUN,159,Partie_1
croire,croire,VERB,157,Partie_1
bras,bras,NOUN,154,Partie_1
mort,mort,NOUN,154,Partie_1
falloir,falloir,VERB,151,Partie_1
beau,beau,ADJ,149,Partie_1
perdre,perdre,VERB,149,Partie_1
esprit,esprit,NOUN,147,Partie_1
sentir,sentir,VERB,147,Partie_1
âme,âme,NOUN,147,Partie_1
livre,livre,NOUN,146,Partie_1
noir,noir,ADJ,145,Partie_1
lumière,lumière,NOUN,143,Partie_1
peur,peur,NOUN,142,Partie_1
Passeuse,Passeuse,PROPN,140,Partie_1
chercher,chercher,VERB,140,Partie_1
propre,propre,ADJ,139,Partie_1
doute,doute,NOUN,138,Partie_1
question,question,NOUN,138,Partie_1
entendre,entendre,VERB,137,Partie_1
sortir,sortir,VERB,136,Partie_1
bouche,bouche,NOUN,135,Partie_1
nuit,nuit,NOUN,135,Partie_1
blanc,blanc,ADJ,132,Partie_1
