Id,Label,POS_Category,Total_Frequency
pouvoir,pouvoir,VERB,1716
savoir,savoir,VERB,1275
main,main,NOUN,1148
Killian,Killian,PROPN,1090
vouloir,vouloir,VERB,1042
cœur,cœur,NOUN,880
fois,fois,NOUN,849
temps,temps,NOUN,786
prendre,prendre,VERB,781
aller,aller,VERB,780
Arya,Arya,PROPN,765
oeil,oeil,NOUN,752
mot,mot,NOUN,743
devoir,devoir,VERB,695
tête,tête,NOUN,686
regard,regard,NOUN,667
seul,seul,ADJ,651
Alric,Alric,PROPN,640
corps,corps,NOUN,640
petit,petit,ADJ,630
Aïdan,Aïdan,PROPN,611
sang,sang,NOUN,593
laisser,laisser,VERB,592
grand,grand,ADJ,571
nouveau,nouveau,ADJ,569
passer,passer,VERB,565
venir,venir,VERB,565
mots,mots,PROPN,535
vie,vie,NOUN,531
voir,voir,VERB,521
voix,voix,NOUN,519
mettre,mettre,VERB,518
visage,visage,NOUN,483
monde,monde,NOUN,468
magie,magie,NOUN,467
Reina,Reina,PROPN,458
comprendre,comprendre,VERB,447
côté,côté,NOUN,438
Abel,Abel,PROPN,434
rester,rester,VERB,434
jour,jour,NOUN,422
donner,donner,VERB,421
peau,peau,NOUN,419
voleur,voleur,NOUN,419
souvenir,souvenir,NOUN,413
croire,croire,VERB,404
âme,âme,NOUN,403
dernier,dernier,ADJ,396
bras,bras,NOUN,393
beau,beau,ADJ,392
attendre,attendre,VERB,391
moment,moment,NOUN,381
doute,doute,NOUN,379
doigt,doigt,NOUN,373
prince,prince,NOUN,369
chose,chose,NOUN,368
trouver,trouver,VERB,367
connaître,connaître,VERB,365
falloir,falloir,VERB,363
aimer,aimer,VERB,362
perdre,perdre,VERB,349
coup,coup,NOUN,342
mort,mort,NOUN,339
besoin,besoin,NOUN,335
Passeuse,Passeuse,PROPN,333
œil,œil,NOUN,333
devenir,devenir,VERB,331
sourire,sourire,NOUN,329
penser,penser,VERB,324
propre,propre,ADJ,324
nuit,nuit,NOUN,320
demander,demander,VERB,318
lumière,lumière,NOUN,317
air,air,NOUN,316
rendre,rendre,VERB,315
amour,amour,NOUN,314
bouche,bouche,NOUN,313
noir,noir,ADJ,313
sentir,sentir,VERB,313
tomber,tomber,VERB,310
esprit,esprit,NOUN,309
question,question,NOUN,309
peur,peur,NOUN,307
émotion,émotion,NOUN,304
place,place,NOUN,294
fin,fin,NOUN,293
pied,pied,NOUN,289
arriver,arriver,VERB,287
force,force,NOUN,282
homme,homme,NOUN,281
entendre,entendre,VERB,276
nom,nom,NOUN,276
